title,price,rating
"NEMIX RAM 16GB (1X16GB) DDR4 2666MHZ PC4-21300 2Rx8 1.2V CL19 260-PIN ECC Unbuffered SODIMM Workstation, NAS Memory","LKR45,152.73",4.7 out of 5 stars
NEMIX RAM 64GB (2X32GB) DDR4 2666MHZ PC4-21300 2Rx8 1.2V CL19 288-PIN ECC Unbuffered UDIMM Memory KIT,"LKR177,873.16",4.8 out of 5 stars
"Crucial Pro DDR5 RAM 32GB Kit (2x16GB), 6400MHz CL32, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G64C32U5B","LKR113,246.85",4.6 out of 5 stars
CORSAIR Vengence RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36-44-44-96 1.35V Intel XMP 3.0 Computer Memory – Black (CMH32GX5M2E6000C36),"LKR127,449.11",4.8 out of 5 stars
Samsung 64GB (2x32GB) DDR4 3200 MHz PC4-25600 SODIMM 2Rx8 CL22 1.2v 260-PIN Memory RAM Laptop Notebook Module Upgrade M471A4G43AB1-CWE M471A4G43BB1-CWE,"LKR166,430.30",Previous page of related Sponsored Products
CORSAIR Vengeance LPX DDR4 RAM 32GB (2x16GB) 3200MHz CL16-20-20-38 1.35V Intel AMD Desktop Computer Memory - Black (CMK32GX4M2E3200C16),"LKR78,262.46",4.8 out of 5 stars
"DATO DDR5 UDIMM 64GB Kit 32GBx2 Desktop RAM 5600MHz PC5-44800 CL46 1.1V 288-Pin Non-ECC unbuffered dimm, Desktop Memory Module","LKR285,836.31",5.0 out of 5 stars
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V Intel XMP 3.0 Desktop Computer Memory - Black (CMH32GX5M2B6400C36),"LKR134,570.34",4.7 out of 5 stars
"Crucial Pro 32GB DDR5 RAM Kit (2x16GB),CL36 6000MHz, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G60C36U5B","LKR107,650.71",4.8 out of 5 stars
Samsung 8GB (1x8GB) DDR5 5600MHz PC5-44800 CL46 UDIMM 1Rx16 Single Rank 1.1V Non-ECC DIMM 288-Pin Desktop Computer RAM Memory,"LKR51,042.75",Previous page of related Sponsored Products
CORSAIR Vengeance RGB DDR5 RAM 16GB (2x8GB) 5200MHz CL40 Intel XMP iCUE Compatible Computer Memory - Black (CMH16GX5M2B5200C40),"LKR77,334.41",4.7 out of 5 stars
"MMOMENT DDR5 SODIMM 16GB 5600Mhz (PC5-44800) Laptop Memory Module Ram (CL46, Non-ECC Unbuffered, 1.1V, 262 Pin)","LKR68,053.91",4.3 out of 5 stars
Netac DDR4 DRAM 32GB Kit16GBx2 C16 3200MHz XMP 2.0 Dual Channel RAM (PC4-25600) 1.35V 288-Pin Upgraded Aluminum Heat Sink Ideal for Gaming Computer Upgrade - Shadow S,"LKR68,053.91",4.9 out of 5 stars
"Crucial 32GB DDR5 RAM Kit (2x16GB), 5600MHz (or 5200MHz or 4800MHz) Laptop Memory 262-Pin SODIMM, Compatible with Intel Core and AMD Ryzen 7000, Black - CT2K16G56C46S5","LKR100,226.31",4.8 out of 5 stars
NEMIX RAM 1.5TB (16X96GB) DDR5 5600MHZ PC5-44800 2Rx4 1.1V CL46 288-PIN ECC RDIMM Registered Server Memory KIT,"LKR14,168,226.91",1.0 out of 5 stars
CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V AMD Expo Intel XMP 3.0 Desktop Computer Memory – Gray (CMK32GX5M2B6400Z36),"LKR123,736.91",4.7 out of 5 stars
NEMIX RAM 128GB (4X32GB) DDR4 2933MHZ PC4-23400 2Rx4 1.2V CL21 288-PIN ECC RDIMM Registered Server Memory KIT,"LKR420,063.27",4.4 out of 5 stars
"Crucial Pro 96GB DDR5 RAM Kit (2x48GB), 5600MHz (or 5200MHz or 4800MHz) Desktop Memory UDIMM 288-pin, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CP2K48G56C46U5","LKR253,663.91",4.7 out of 5 stars
"Crucial Pro DDR5 RAM 64GB Kit (2x32GB) 6400MHz CL40, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible – White CP2K32G64C40U5W","LKR216,541.91",4.5 out of 5 stars
G.SKILL Flare X5 Series DDR5 RAM (AMD Expo & Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GX2-FX5),"LKR139,201.31",4.7 out of 5 stars
CORSAIR Vengeance DDR5 16GB (2x8GB) DDR5 5200MHz CL40 AMD EXPO Intel XMP iCUE Compatible Computer Memory – Gray (CMK16GX5M2B5200Z40),"LKR73,566.52",4.4 out of 5 stars
